TransactionID,Date,CustomerID,CustomerName,AgeGroup,Gender,Region,Country,City,ProductID,ProductName,Category,Quantity,SalesAmount,CostPrice,Profit,DiscountPercent,PaymentMode,SalesChannel
T10001,2024-04-12,C100,Emily Clark,50+,Female,North America,Canada,Vancouver,P303,Washing Machine,Appliances,4,3640,2384.31,1255.69,0.19,UPI,In-Store
T10002,2024-01-21,C101,Maria Gomez,50+,Male,North America,Mexico,Monterrey,P112,Mobile Phone,Electronics,3,513,331.81,181.19,0.01,Debit Card,In-Store
T10003,2024-03-28,C102,Priya Nair,36-50,Female,Asia,India,Bengaluru,P303,Washing Machine,Appliances,1,1173,754.07,418.93,0.16,Cash,Online
T10004,2024-02-22,C103,Rohan Gupta,36-50,Other,Africa,Kenya,Nairobi,P205,Headphones,Accessories,2,786,667.89,118.11,0.05,Debit Card,In-Store
T10005,2024-03-04,C104,Daniel Wong,26-35,Other,Africa,Kenya,Nairobi,P402,Monitor,Electronics,4,1304,1023.96,280.04,0.15,Net Banking,Online
T10006,2024-04-17,C105,Maria Gomez,26-35,Female,North America,USA,Seattle,P101,Laptop,Electronics,1,1634,1237.64,396.36,0.1,Credit Card,Online
T10007,2024-04-01,C106,Aditi Sharma,36-50,Other,Europe,Germany,Munich,P520,Microwave Oven,Appliances,4,4100,2746.31,1353.69,0.02,Cash,In-Store
T10008,2024-03-02,C107,John Carter,26-35,Male,Europe,UK,Manchester,P112,Mobile Phone,Electronics,3,5847,4410.22,1436.78,0.15,Net Banking,In-Store
T10009,2024-01-03,C108,Jake Turner,36-50,Female,Europe,Italy,Milan,P520,Microwave Oven,Appliances,1,1892,1521.34,370.66,0.11,Credit Card,In-Store
T10010,2024-01-18,C109,Meera Iyer,18-25,Other,Africa,Kenya,Nairobi,P205,Headphones,Accessories,4,2600,2313.19,286.81,0.2,UPI,In-Store
T10011,2024-01-09,C110,Sarah Miller,26-35,Other,Europe,Germany,Munich,P205,Headphones,Accessories,2,1228,821.86,406.14,0.06,Net Banking,Online
T10012,2024-02-29,C111,Sonia Patel,18-25,Other,South America,Brazil,São Paulo,P520,Microwave Oven,Appliances,3,4503,3370.73,1132.27,0.01,Credit Card,Online
T10013,2024-03-18,C112,Ethan Wilson,50+,Female,Europe,Germany,Berlin,P205,Headphones,Accessories,1,1635,1305.97,329.03,0.08,Cash,In-Store
T10014,2024-01-06,C113,Aditi Sharma,36-50,Male,Asia,UAE,Abu Dhabi,P303,Washing Machine,Appliances,2,2358,1816.39,541.61,0.01,Debit Card,Online
T10015,2024-01-18,C114,John Carter,50+,Other,Asia,Singapore,Singapore,P402,Monitor,Electronics,2,3258,2873.07,384.93,0.22,Cash,In-Store
T10016,2024-01-14,C115,Michael Ross,18-25,Female,North America,Mexico,Mexico City,P205,Headphones,Accessories,3,2595,1811.21,783.79,0.14,Net Banking,Online
T10017,2024-03-02,C116,Meera Iyer,36-50,Female,Africa,Egypt,Cairo,P101,Laptop,Electronics,4,7192,5153.81,2038.19,0.07,Cash,In-Store
T10018,2024-02-22,C117,Jake Turner,36-50,Female,South America,Argentina,Buenos Aires,P303,Washing Machine,Appliances,4,7980,7098.82,881.18,0.15,Credit Card,In-Store
T10019,2024-04-18,C118,Maria Gomez,18-25,Male,Europe,Germany,Berlin,P402,Monitor,Electronics,1,1230,1034.01,195.99,0.02,Credit Card,In-Store
T10020,2024-03-11,C119,Lucas Brown,18-25,Male,Asia,UAE,Abu Dhabi,P112,Mobile Phone,Electronics,1,1417,1018.06,398.94,0.07,Debit Card,Online
T10021,2024-03-03,C120,Sonia Patel,36-50,Other,North America,Mexico,Mexico City,P101,Laptop,Electronics,3,4716,3829.66,886.34,0.18,Debit Card,In-Store
T10022,2024-02-02,C121,Maria Gomez,36-50,Female,Europe,Germany,Berlin,P112,Mobile Phone,Electronics,3,5538,4861.76,676.24,0.16,Cash,In-Store
T10023,2024-01-28,C122,Jake Turner,50+,Female,Africa,South Africa,Johannesburg,P520,Microwave Oven,Appliances,3,750,590.24,159.76,0.08,UPI,In-Store
T10024,2024-02-17,C123,Ethan Wilson,36-50,Female,Asia,India,Delhi,P520,Microwave Oven,Appliances,3,1368,1095.29,272.71,0.17,Debit Card,Online
T10025,2024-02-13,C124,Maria Gomez,26-35,Other,North America,Canada,Vancouver,P101,Laptop,Electronics,4,3100,2685.11,414.89,0.12,Cash,Online
T10026,2024-04-10,C125,Ethan Wilson,26-35,Female,Europe,Italy,Rome,P402,Monitor,Electronics,3,4605,3935.77,669.23,0.18,Debit Card,Online
T10027,2024-04-28,C126,Aditi Sharma,18-25,Other,Africa,South Africa,Johannesburg,P101,Laptop,Electronics,3,1341,1003.25,337.75,0.13,Net Banking,In-Store
T10028,2024-01-15,C127,Priya Nair,50+,Female,North America,Canada,Toronto,P402,Monitor,Electronics,2,3254,2381.28,872.72,0.05,Net Banking,Online
T10029,2024-04-05,C128,Emily Clark,18-25,Female,South America,Chile,Santiago,P402,Monitor,Electronics,3,3942,2736.96,1205.04,0.13,Cash,Online
T10030,2024-04-03,C129,Meera Iyer,50+,Male,North America,Mexico,Mexico City,P402,Monitor,Electronics,1,1480,1156.36,323.64,0.13,Cash,Online
T10031,2024-01-29,C130,Natalie Reed,18-25,Male,Africa,Egypt,Cairo,P101,Laptop,Electronics,4,2296,1430.62,865.38,0.07,Debit Card,In-Store
T10032,2024-03-26,C131,Natalie Reed,36-50,Male,North America,Mexico,Monterrey,P101,Laptop,Electronics,4,2508,1974.56,533.44,0.07,Debit Card,In-Store
T10033,2024-04-26,C132,Lucas Brown,36-50,Male,Europe,France,Paris,P205,Headphones,Accessories,2,1690,1421.46,268.54,0.05,Debit Card,In-Store
T10034,2024-01-30,C133,Emily Clark,18-25,Female,Europe,France,Paris,P520,Microwave Oven,Appliances,2,2808,1958.03,849.97,0.03,UPI,Online
T10035,2024-03-29,C134,Meera Iyer,50+,Other,Africa,Kenya,Nairobi,P101,Laptop,Electronics,3,717,453.87,263.13,0.06,Debit Card,Online
T10036,2024-03-02,C135,John Carter,26-35,Other,Asia,Japan,Osaka,P112,Mobile Phone,Electronics,1,677,477.81,199.19,0.08,Debit Card,Online
T10037,2024-03-10,C136,Lucas Brown,18-25,Male,Africa,Egypt,Cairo,P402,Monitor,Electronics,4,5936,4304.93,1631.07,0.06,Credit Card,In-Store
T10038,2024-02-20,C137,Priya Nair,26-35,Other,Africa,Egypt,Cairo,P101,Laptop,Electronics,2,1466,986.97,479.03,0.04,Credit Card,Online
T10039,2024-02-01,C138,Meera Iyer,36-50,Other,Africa,Kenya,Nairobi,P101,Laptop,Electronics,4,6180,5011.4,1168.6,0.09,UPI,Online
T10040,2024-04-22,C139,Lucas Brown,26-35,Female,Europe,UK,Manchester,P402,Monitor,Electronics,2,1226,826.4,399.6,0.17,Credit Card,Online
T10041,2024-01-03,C140,Daniel Wong,50+,Male,Asia,Japan,Osaka,P101,Laptop,Electronics,1,1686,1155.67,530.33,0.01,Cash,Online
T10042,2024-04-22,C141,Daniel Wong,36-50,Female,South America,Argentina,Buenos Aires,P101,Laptop,Electronics,2,1382,999.62,382.38,0.01,Cash,In-Store
T10043,2024-04-05,C142,Jake Turner,50+,Other,Europe,France,Lyon,P205,Headphones,Accessories,1,434,291.59,142.41,0.04,UPI,In-Store
T10044,2024-02-13,C143,Michael Ross,26-35,Female,Europe,France,Paris,P520,Microwave Oven,Appliances,2,3490,2672.88,817.12,0.15,Cash,In-Store
T10045,2024-02-24,C144,Ethan Wilson,36-50,Other,Asia,India,Mumbai,P112,Mobile Phone,Electronics,3,3771,2531.44,1239.56,0.18,UPI,In-Store
